facility_id,location,cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk
1001,Nagpur Central,6.26,9.38,4.78,0,239.0,30.6,Low
1002,Manish Nagar,6.85,2.08,7.61,3,582.0,41.6,High
1003,Sadar,1.76,2.05,9.03,3,976.0,11.9,High
1004,Dharampeth,,1.79,7.21,2,179.0,53.5,Low
1005,Dharampeth,1.37,6.92,9.63,6,132.0,6.3,High
1006,Manish Nagar,5.45,4.77,7.82,5,942.0,52.8,High
1007,Nagpur Central,3.97,7.97,8.67,4,967.0,61.3,High
1008,Sadar,2.3,7.04,1.14,1,192.0,34.5,Low
1009,Nagpur Central,1.93,4.0,7.32,5,419.0,37.2,High
1010,Nagpur Central,6.29,14.0,4.4,5,637.0,23.2,High
1011,Sadar,2.54,7.86,5.53,2,219.0,69.8,High
1012,Manish Nagar,9.33,3.43,6.54,1,346.0,53.1,Low
1013,Sadar,6.23,4.28,9.7,4,413.0,27.2,High
1014,Manish Nagar,4.12,3.83,9.85,3,652.0,13.4,High
1015,Sadar,6.32,2.42,2.88,2,328.0,16.6,Low
1016,Manish Nagar,1.21,2.33,7.34,-2,429.0,33.9,High
1017,Sadar,9.63,9.43,7.5,4,310.0,67.9,High
1018,Nagpur Central,5.34,4.94,3.46,4,766.0,53.1,High
1019,Manish Nagar,8.04,4.45,1.24,4,178.0,16.3,Low
1020,Dharampeth,1.74,7.57,0.41,2,253.0,62.0,High
1021,Sadar,5.38,5.98,7.77,3,272.0,27.9,Low
1022,Dharampeth,5.42,9.43,4.9,1,908.0,61.5,High
1023,Nagpur Central,9.44,8.02,9.86,4,,18.2,High
1024,Manish Nagar,6.15,5.31,4.65,3,515.0,44.9,High
1025,Manish Nagar,5.26,4.39,9.78,3,181.0,66.8,High
1026,Sadar,3.4,9.88,4.12,2,763.0,19.3,High
1027,Dharampeth,3.98,7.46,7.94,2,507.0,50.2,High
1028,Manish Nagar,5.69,9.56,0.85,5,854.0,71.1,High
1029,Sadar,4.95,2.07,5.55,1,379.0,11.7,Low
1030,Dharampeth,1.19,8.65,8.02,6,998.0,7.3,High
1031,Dharampeth,8.44,6.73,9.25,2,812.0,48.9,High
1032,Nagpur Central,9.07,2.1,8.23,4,247.0,25.1,Low
1033,Nagpur Central,2.26,6.29,0.37,2,733.0,6.1,Low
1034,Sadar,5.99,7.17,3.73,2,308.0,34.7,Low
1035,Manish Nagar,1.98,1.11,0.49,4,369.0,54.5,Low
1036,Nagpur Central,7.05,5.09,1.09,4,272.0,21.2,Low
1037,Manish Nagar,3.53,8.43,6.75,2,691.0,24.8,High
1038,Manish Nagar,6.93,3.66,7.13,5,284.0,61.0,Low
1039,Dharampeth,7.54,5.13,7.74,3,649.0,37.9,High
1040,Sadar,7.92,4.98,8.65,2,594.0,60.8,High
1041,Nagpur Central,1.97,3.72,7.39,2,758.0,32.7,High
1042,Manish Nagar,9.24,9.27,8.01,5,993.0,68.7,High
1043,Sadar,3.07,8.03,0.49,5,38.0,47.2,Low
1044,Dharampeth,1.34,2.0,2.35,2,990.0,9.2,High
1045,Nagpur Central,5.99,9.97,6.22,6,136.0,63.8,High
1046,Manish Nagar,4.34,8.91,8.58,5,540.0,35.7,High
1047,Dharampeth,8.47,3.56,0.05,4,360.0,11.1,Low
1048,Manish Nagar,8.27,8.53,5.15,2,649.0,11.8,Low
1049,Sadar,3.85,1.96,6.77,2,730.0,49.8,High
