facility_id,location,cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk,cleaning_delay_ratio
1001,Nagpur Central,6.26,9.38,4.78,0.0,239.0,30.6,Low,12.75
1002,Manish Nagar,6.85,2.08,7.61,3.0,582.0,41.6,High,7.135506003430532
1003,Sadar,1.76,2.05,9.03,3.0,976.0,11.9,High,1.218014329580348
1004,Dharampeth,5.54,1.79,7.21,2.0,179.0,53.5,Low,29.72222222222222
1005,Dharampeth,1.37,6.92,9.63,6.0,132.0,6.3,High,4.736842105263158
1006,Manish Nagar,5.45,4.77,7.82,5.0,942.0,52.8,High,5.59915164369035
1007,Nagpur Central,3.97,7.97,8.67,4.0,967.0,61.3,High,6.332644628099174
1008,Sadar,2.3,7.04,1.14,1.0,192.0,34.5,Low,17.875647668393782
1009,Nagpur Central,1.93,4.0,7.32,5.0,419.0,37.2,High,8.857142857142858
1010,Nagpur Central,6.29,5.53,4.4,5.0,637.0,23.2,High,3.6363636363636362
1011,Sadar,2.54,7.86,5.53,2.0,219.0,69.8,High,31.727272727272727
1012,Manish Nagar,9.33,3.43,6.54,1.0,346.0,53.1,Low,15.302593659942362
1013,Sadar,6.23,4.28,9.7,4.0,413.0,27.2,High,6.570048309178745
1014,Manish Nagar,4.12,3.83,9.85,3.0,652.0,13.4,High,2.0520673813169985
1015,Sadar,6.32,2.42,2.88,2.0,328.0,16.6,Low,5.045592705167174
1016,Manish Nagar,1.21,2.33,7.34,3.0,429.0,33.9,High,7.883720930232557
1017,Sadar,9.63,9.43,7.5,4.0,310.0,67.9,High,21.832797427652732
1018,Nagpur Central,5.34,4.94,3.46,4.0,766.0,53.1,High,6.923076923076923
1019,Manish Nagar,8.04,4.45,1.24,4.0,178.0,16.3,Low,9.106145251396649
1020,Dharampeth,1.74,7.57,0.41,2.0,253.0,62.0,High,24.409448818897637
1021,Sadar,5.38,5.98,7.77,3.0,272.0,27.9,Low,10.219780219780219
1022,Dharampeth,5.42,9.43,4.9,1.0,908.0,61.5,High,6.765676567656766
1023,Nagpur Central,9.44,8.02,9.86,4.0,520.0,18.2,High,3.493282149712092
1024,Manish Nagar,6.15,5.31,4.65,3.0,515.0,44.9,High,8.701550387596898
1025,Manish Nagar,5.26,4.39,9.78,3.0,181.0,66.8,High,36.7032967032967
1026,Sadar,3.4,9.88,4.12,2.0,763.0,19.3,High,2.526178010471204
1027,Dharampeth,3.98,7.46,7.94,2.0,507.0,50.2,High,9.881889763779528
1028,Manish Nagar,5.69,9.56,0.85,5.0,854.0,71.1,High,8.315789473684209
1029,Sadar,4.95,2.07,5.55,1.0,379.0,11.7,Low,3.078947368421052
1030,Dharampeth,1.19,8.65,8.02,6.0,998.0,7.3,High,0.7307307307307307
1031,Dharampeth,8.44,6.73,9.25,2.0,812.0,48.9,High,6.014760147601476
1032,Nagpur Central,9.07,2.1,8.23,4.0,247.0,25.1,Low,10.120967741935484
1033,Nagpur Central,2.26,6.29,0.37,2.0,733.0,6.1,Low,0.8310626702997275
1034,Sadar,5.99,7.17,3.73,2.0,308.0,34.7,Low,11.229773462783173
1035,Manish Nagar,1.98,1.11,0.49,4.0,369.0,54.5,Low,14.72972972972973
1036,Nagpur Central,7.05,5.09,1.09,4.0,272.0,21.2,Low,7.7655677655677655
1037,Manish Nagar,3.53,8.43,6.75,2.0,691.0,24.8,High,3.5838150289017343
1038,Manish Nagar,6.93,3.66,7.13,5.0,284.0,61.0,Low,21.403508771929825
1039,Dharampeth,7.54,5.13,7.74,3.0,649.0,37.9,High,5.8307692307692305
1040,Sadar,7.92,4.98,8.65,2.0,594.0,60.8,High,10.218487394957982
1041,Nagpur Central,1.97,3.72,7.39,2.0,758.0,32.7,High,4.308300395256917
1042,Manish Nagar,9.24,9.27,8.01,5.0,993.0,68.7,High,6.9114688128772634
1043,Sadar,3.07,8.03,0.49,5.0,38.0,47.2,Low,121.02564102564104
1044,Dharampeth,1.34,2.0,2.35,2.0,990.0,9.2,High,0.9283551967709384
1045,Nagpur Central,5.99,9.97,6.22,6.0,136.0,63.8,High,46.56934306569343
1046,Manish Nagar,4.34,8.91,8.58,5.0,540.0,35.7,High,6.598890942698707
1047,Dharampeth,8.47,3.56,0.05,4.0,360.0,11.1,Low,3.074792243767313
1048,Manish Nagar,8.27,8.53,5.15,2.0,649.0,11.8,Low,1.8153846153846156
1049,Sadar,3.85,1.96,6.77,2.0,730.0,49.8,High,6.812585499316006
1050,Manish Nagar,9.58,9.99,0.3,1.0,864.0,4.4,Low,0.5086705202312138
1051,Manish Nagar,3.62,6.99,4.01,3.0,419.0,21.3,Low,5.071428571428572
1052,Nagpur Central,5.64,6.85,8.96,2.0,934.0,10.9,High,1.1657754010695187
1053,Dharampeth,3.3,1.81,6.72,1.0,342.0,32.3,Low,9.416909620991252
1054,Dharampeth,9.42,9.07,2.38,3.0,227.0,30.4,Low,13.333333333333334
1055,Dharampeth,2.48,1.26,8.53,5.0,397.0,38.1,High,9.57286432160804
1056,Nagpur Central,1.4,3.17,3.48,4.0,542.0,20.9,High,3.8489871086556167
1057,Sadar,4.92,2.29,8.53,6.0,678.0,3.3,High,0.48600883652430044
1058,Nagpur Central,9.93,7.99,2.99,4.0,837.0,44.6,High,5.32219570405728
1059,Sadar,9.03,2.78,5.9,9.0,248.0,27.5,Low,11.04417670682731
1060,Sadar,7.74,9.2,3.97,2.0,324.0,47.2,Low,14.523076923076925
1061,Manish Nagar,9.02,6.91,2.75,3.0,940.0,8.7,Low,0.9245483528161529
1062,Sadar,9.04,1.33,8.87,2.0,456.0,2.0,Low,0.437636761487965
1063,Dharampeth,5.67,1.05,1.88,3.0,264.0,18.6,Low,7.018867924528302
1064,Manish Nagar,3.84,1.46,0.85,2.0,986.0,33.4,High,3.383991894630192
1065,Dharampeth,7.95,6.45,3.42,2.0,465.0,29.0,Low,6.223175965665236
1066,Dharampeth,6.95,8.21,7.18,4.0,985.0,58.5,High,5.9330628803245435
